번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률
468,고딩엄빠4(본),오락,MBN,2023-08-30 0:00:00,수,22:25:23,23:30:16,19:04,6회,1.264062293,1.48713211,0.037220148,0.04378841,0.030524503,0.03591118,0.672823653,0.791557239,1.491074226,1.754204971,0.141393116,0.166344842,0.310048327,0.364762738,1.174979685,1.382329041,0.491971423,0.578789909,0.970832532,1.14215592,2.268579046,2.668916525,0.609817407,0.717432244,1.099099496,1.293058231,2.100107114,2.470714252,2.45097266,2.883497247
519,고딩엄빠4(본),오락,MBN,2023-08-16 0:00:00,수,22:25:13,23:35:17,70:04:00,4회,1.173093522,1.380110026,0.594748712,0.699704367,0.250729497,0.294975879,0.267155846,0.314300996,0.276375813,0.325148015,0.525824295,0.618616817,0.512635636,0.603100748,1.704398484,2.005174687,0.361153247,0.424886173,1.792140221,2.10840026,1.416152337,1.666061573,0.314308657,0.36977489,1.226026941,1.442384636,1.599214371,1.881428671,2.262191712,2.661402014
671,고딩엄빠4(본),오락,MBN,2023-08-09 0:00:00,수,22:25:29,23:30:07,64:38:00,3회,1.031757684,1.199718237,0.072482432,0.084281897,0,0,0.511548003,0.594823259,1.704434186,1.981900217,0.029885876,0.034751019,0.041634178,0.048411835,0.467923532,0.544097131,0.382609199,0.444894417,1.112956084,1.294134981,2.573354505,2.99227268,0.364301569,0.423606476,0.893852977,1.039363927,1.422077164,1.653578098,2.00532086,2.331768442
846,고딩엄빠4(본),오락,MBN,2023-08-02 0:00:00,수,22:25:44,23:32:50,67:06:00,2회,0.902569471,1.061846436,0.304843376,0.358639265,0,0,0.002524055,0.002969476,0.148263189,0.174427282,1.474287801,1.734456236,0.250047063,0.294173015,0.97216782,1.143726847,1.728159292,2.033128579,0.880960222,1.036423791,0.754802812,0.888003308,0.328264357,0.386193361,0.837413511,0.985192366,1.256933456,1.478745242,1.420539238,1.671222633
1046,고딩엄빠4(본),오락,MBN,2023-08-23 0:00:00,수,22:24:45,23:26:07,23:43,5회,0.789052423,0.928296968,0,0,0.046038058,0.054162421,0.856247947,1.007350526,0.446903188,0.525768456,0.048112581,0.056603037,0.149816482,0.176254684,1.135365627,1.335724267,0.829670615,0.976083076,0.704856995,0.829243523,0.596173896,0.701381054,0.46331237,0.545073377,1.408267388,1.656785162,1.001724372,1.178499261,1.328148836,1.562528043
477,고딩엄빠4(본),오락,MBN,2023-09-27 0:00:00,수,22:26:27,23:32:57,66:30:00,10회,1.233101071,1.450707142,0.019491593,0.022931286,0,0,0.280872467,0.330438196,0.208182554,0.244920651,0.175840684,0.206871393,0.618794044,0.727992993,1.675203681,1.97082786,0.380633194,0.447803757,0.664158095,0.781362464,1.25800349,1.480004105,0.75307761,0.885973659,1.173878719,1.381033787,2.094132033,2.463684744,2.995654539,3.524299458
720,고딩엄빠4(본),오락,MBN,2023-09-20 0:00:00,수,22:26:15,23:34:32,68:17:00,9회,0.973313211,1.131759548,0,0,0,0,0.342725698,0.398518253,1.393528611,1.620382106,0.04376108,0.050884977,0.222121758,0.258281114,1.018735071,1.184575663,0.524504927,0.60988945,1.542932905,1.794108029,2.437290225,2.834058401,0.261825707,0.304448496,0.588971722,0.68485084,0.935835061,1.088180303,1.841202538,2.140933184
768,고딩엄빠4(본),오락,MBN,2023-09-06 0:00:00,수,22:25:48,23:29:06,22:02,7회,0.940449842,1.106411579,0,0,0,0,0.281597619,0.331291316,0.21649626,0.254701483,0.092482168,0.10880255,0.303134427,0.356628738,1.183657267,1.392537961,0.35945603,0.422889447,1.255947893,1.477585756,1.208631888,1.421919868,0.279076753,0.328325591,1.048670937,1.233730514,1.356780818,1.596212728,2.097298995,2.467410582
1217,고딩엄빠4(본),오락,MBN,2023-09-13 0:00:00,수,22:25:22,23:36:51,13:38,8회,0.673349511,0.782964548,0,0,0,0,0.259368161,0.301590885,0.069782631,0.081142594,0.136296333,0.158484108,0.466100224,0.541977004,1.23579706,1.436973326,0.954495878,1.109878927,0.431840707,0.502140357,0.705171018,0.8199663,0.320478203,0.372649073,0.470581622,0.547187933,0.941593786,1.094876496,1.343379843,1.562069584
1205,고딩엄빠(본),오락,MBN,2022-03-27 0:00:00,일,21:20:31,22:02:52,44:20:00,4회,0.890527432,1.035497014,0.122493329,0.142434103,0.655045114,0.761680365,0.168992651,0.196503082,0.654643606,0.761213495,0.048084578,0.0559123,0.066684746,0.077540403,0.335186542,0.389751793,1.147567461,1.334380769,0.181831479,0.211431952,0.761050234,0.884942133,0.872419827,1.014441659,1.15196715,1.339496686,1.409890477,1.639407532,2.34575028,2.727616604
1208,고딩엄빠(본),오락,MBN,2022-03-13 0:00:00,일,21:20:40,21:56:15,35:35:00,2회,0.88796086,1.032512628,0.620165449,0.721122615,0.090188727,0.104870613,0.129977845,0.151137029,0.529623284,0.615841028,0.728248218,0.846800254,0.76741313,0.892340849,0.321655427,0.374017938,1.620614723,1.884435724,0.540375765,0.628343913,0.461236514,0.536321527,1.140864034,1.326586086,1.31559357,1.529759965,0.721800265,0.839302634,1.732552516,2.014595949
1435,고딩엄빠(본),오락,MBN,2022-03-20 0:00:00,일,21:20:14,21:59:33,46:53:00,3회,0.784261443,0.901449934,2.535322403,2.914163681,1.74051127,2.000587667,0.090266863,0.103755015,0.696395424,0.80045451,0.115025499,0.132213217,0.122922763,0.141290532,0.589998245,0.678158903,0.501364979,0.576281585,0.694356508,0.798110929,0.834447739,0.959135332,0.533474911,0.613189552,0.51813843,0.595561414,1.085634904,1.247856211,1.542517689,1.773008838
2004,고딩엄빠(본),오락,MBN,2022-03-06 0:00:00,일,21:20:38,22:02:21,41:43:00,1회,0.578205054,0.696632595,0.136815642,0.164838123,0.400900942,0.483013183,0.034023692,0.040992399,0.560855861,0.675729953,0.024452459,0.029460793,0.032759012,0.039468689,0.077566149,0.093453191,0.266988143,0.321672461,0.572018588,0.689179021,1.045446403,1.259573979,0.281167066,0.338755501,0.755247176,0.909936357,1.119942391,1.349328182,1.220766754,1.470803318
