번호,프로그램명,장르,채널,날짜,요일,시작시간,종료시간,방송길이,회차,개인 전체_시청시간,개인전체_시청률,4-9세 남자_시청시간,4-9세 남자_시청률,4-9세 여자_시청시간,4-9세 여자_시청률,10대 남자_시청시간,10대 남자_시청률,10대 여자_시청시간,10대 여자_시청률,20대 남자_시청시간,20대 남자_시청률,20대 여자_시청시간,20대 여자_시청률,30대 남자_시청시간,30대 남자_시청률,30대 여자_시청시간,30대 여자_시청률,40대 남자_시청시간,40대 남자_시청률,40대 여자_시청시간,40대 여자_시청률,50대 남자_시청시간,50대 남자_시청률,50대 여자_시청시간,50대 여자_시청률,60세 이상 남자_시청시간,60세 이상 남자_시청률,60세 이상 여자_시청시간,60세 이상 여자_시청률, 
1692,요즘육아금쪽같은내새끼(본),오락,채널A,2023-10-13 0:00,금,19:59:55,21:14:14,0074:19,166회,0.539250725,0.728717195,0,0,0.047441337,0.064109915,0.02437896,0.03294454,0.058306257,0.078792239,0.087491333,0.118231531,0.03801507,0.051371716,0.194720798,0.263136214,0.540772045,0.730773034,0.229281591,0.309839988,0.588596581,0.795400786,0.040750396,0.055068103,1.121056647,1.514941415,0.881318127,1.190970443,1.392637353,1.881942369,
1801,요즘남자라이프신랑수업(본),오락,채널A,2023-10-25 0:00,수,21:30:07,22:45:49,0075:42,87회,0.505391752,0.664989147,0,0,0,0,0,0,0.142749751,0.18782862,0.108497927,0.14276043,0.144571839,0.190226104,0.352530104,0.463855399,0.354786962,0.46682495,0.401281774,0.528002334,0.518493667,0.68222851,0.494170309,0.650224091,0.666919711,0.877525936,0.585372998,0.77022763,1.294427608,1.703194221,
834,요즘남자라이프신랑수업(본),오락,채널A,2023-11-01 0:00,수,21:29:38,22:45:37,0075:59,88회,0.894001205,1.176317374,0.154695611,0.203546856,0,0,0,0,0.002419351,0.003183356,0.199830942,0.262935449,0.279309904,0.367513031,0.895900636,1.178816627,0.376315484,0.495151952,0.784763232,1.0325832,0.40617127,0.534435882,0.42863534,0.563993869,0.892499477,1.174341417,1.935218818,2.546340551,2.195965355,2.889428099,
986,요즘남자라이프신랑수업(본),오락,채널A,2023-11-29 0:00,수,21:28:41,22:51:26,0082:45,92회,0.815851949,0.994941401,0,0,0.167848866,0.204693739,0.221581951,0.270221892,0.148587321,0.18120405,0.496191779,0.605111925,0.169591981,0.206819489,1.218813756,1.486358239,0.694003509,0.846345743,0.824295359,1.005238242,0.47714741,0.581887085,0.599295546,0.730848227,0.850114667,1.036725204,1.582995196,1.930481947,1.334534553,1.627481162,
1026,요즘남자라이프신랑수업(본),오락,채널A,2023-11-15 0:00,수,21:30:05,22:52:21,0082:16,90회,0.793257128,0.967386742,0,0,0,0,0.221898174,0.270607529,0.08586972,0.10471917,0.890483515,1.085955506,0.185163507,0.225809155,0.497669406,0.60691391,0.37965572,0.462994781,0.449186727,0.547788692,0.678384369,0.82729801,0.673002567,0.820734838,0.961039015,1.171998799,1.135128404,1.384302932,1.889463481,2.304223757,
1120,요즘남자라이프신랑수업(본),오락,채널A,2023-11-08 0:00,수,21:29:48,22:52:16,0082:28,89회,0.750341032,0.915050039,0,0,0.152525265,0.18600642,0.162167011,0.197764647,0.07333018,0.089427049,0.253146957,0.308715801,0.421041841,0.513465659,0.637267652,0.777155673,0.496998916,0.606096239,0.29065074,0.354452122,0.966774212,1.178992942,0.766755008,0.935067083,1.265019406,1.542706592,1.173606154,1.431227017,1.352208274,1.649034481,
1169,요즘남자라이프신랑수업(본),오락,채널A,2023-11-22 0:00,수,21:30:33,22:43:58,0073:25,91회,0.732041399,1.002796437,0,0,0,0,0.342556876,0.469255995,0.00604461,0.008280287,0.52950021,0.725342754,0.474091139,0.649439917,0.146541884,0.200742306,0.101413407,0.138922476,0.234479749,0.321205135,0.650468492,0.891052728,1.005017342,1.376736085,0.789847348,1.081982668,1.217668471,1.668039002,1.765392305,2.418345623,
1429,요즘육아금쪽같은내새끼(본),오락,채널A,2023-11-10 0:00,금,20:01:12,21:15:00,0073:48,169회,0.629699933,0.850945855,0.250334946,0.338290468,1.464328877,1.978822807,0.173047041,0.233847353,0.312332831,0.422071393,0.475474626,0.642533278,0.103965001,0.140493244,0.138731361,0.187474812,0.239035576,0.323021049,0.483182964,0.652949952,0.488677296,0.660374725,0.15276803,0.206443284,1.144028267,1.545984145,1.173424704,1.58570906,1.167575094,1.577804181,
1861,요즘육아금쪽같은내새끼(본),오락,채널A,2023-11-17 0:00,금,20:01:37,21:12:51,0071:14,170회,0.491111125,0.691705809,0.030607623,0.043109328,0,0,0.128318813,0.180730722,0.018230784,0.025677161,0.52435764,0.738531888,0.124853404,0.175849864,0.404234789,0.569344773,0.483153787,0.680498292,0.20976024,0.295436957,0.169237948,0.238363307,0.321799466,0.453238684,0.971417768,1.368194039,0.748388281,1.054068001,1.003103309,1.412821562,
2080,요즘육아금쪽같은내새끼(본),오락,채널A,2023-11-24 0:00,금,20:02:10,21:15:16,0073:06,171회,0.445670209,0.610507136,0,0,0,0,0.013756361,0.018844331,0.375208815,0.513984678,0.41488296,0.568332822,0.064261173,0.088029004,0.283869671,0.388862563,0.560825543,0.768254168,0.067816129,0.092898806,0.290748617,0.398285776,0.060699469,0.083149957,1.11303344,1.524703343,0.778970019,1.067082218,0.788109794,1.079602457,
